aggr,Area,Mean,Min,Max,IntDen,RawIntDen,total_worm_area,Worm
1,0.391,43,37,47,16.797,172,56718.164,worm1
2,0.488,40.2,30,47,19.629,201,56718.164,worm1
3,0.391,34.25,30,39,13.379,137,56718.164,worm1
4,0.391,43,36,47,16.797,172,56718.164,worm1
5,1.172,42.5,34,58,49.805,510,56718.164,worm1
6,0.586,44.5,37,60,26.074,267,56718.164,worm1
7,1.074,40.727,33,57,43.75,448,56718.164,worm1
8,0.488,39,30,54,19.043,195,56718.164,worm1
9,0.586,32.667,30,38,19.141,196,56718.164,worm1
10,0.391,36.75,33,40,14.355,147,56718.164,worm1
11,0.391,32.5,30,37,12.695,130,56718.164,worm1
12,0.586,40.333,34,48,23.633,242,56718.164,worm1
13,1.953,36,30,47,70.312,720,56718.164,worm1
14,0.488,40.6,35,47,19.824,203,56718.164,worm1
15,0.391,35.5,31,43,13.867,142,56718.164,worm1
16,0.586,40,32,50,23.438,240,56718.164,worm1
17,0.391,38.75,30,53,15.137,155,56718.164,worm1
18,1.074,44,32,58,47.266,484,56718.164,worm1
19,1.27,37,31,48,46.973,481,56718.164,worm1
20,0.488,32.8,31,36,16.016,164,56718.164,worm1
21,1.074,39.273,30,54,42.188,432,56718.164,worm1
22,0.781,38.125,33,41,29.785,305,56718.164,worm1
23,0.781,40.75,30,47,31.836,326,56718.164,worm1
24,0.391,34.25,32,40,13.379,137,56718.164,worm1
25,0.586,43.667,33,60,25.586,262,56718.164,worm1
26,0.391,41.75,31,55,16.309,167,56718.164,worm1
27,0.684,38.143,30,60,26.074,267,56718.164,worm1
28,0.684,42.286,31,54,28.906,296,56718.164,worm1
29,0.684,37.286,31,50,25.488,261,56718.164,worm1
30,1.27,40.077,33,52,50.879,521,56718.164,worm1
31,1.27,37.077,30,45,47.07,482,56718.164,worm1
32,1.074,44.545,31,52,47.852,490,56718.164,worm1
33,2.539,44.385,33,55,112.695,1154,56718.164,worm1
34,0.391,48.5,37,59,18.945,194,56718.164,worm1
35,1.465,39.6,31,58,58.008,594,56718.164,worm1
36,0.391,35.5,31,39,13.867,142,56718.164,worm1
37,0.781,45.875,30,60,35.84,367,56718.164,worm1
38,0.586,34,30,45,19.922,204,56718.164,worm1
39,1.27,44.462,32,60,56.445,578,56718.164,worm1
40,0.391,39,30,47,15.234,156,56718.164,worm1
41,1.172,41.833,34,56,49.023,502,56718.164,worm1
42,0.684,45.143,31,59,30.859,316,56718.164,worm1
43,0.488,34.6,30,39,16.895,173,56718.164,worm1
44,0.879,35.333,31,40,31.055,318,56718.164,worm1
45,0.391,36.5,30,49,14.258,146,56718.164,worm1
46,0.391,43.5,34,50,16.992,174,56718.164,worm1
47,0.391,42.25,34,55,16.504,169,56718.164,worm1
48,0.391,42,33,49,16.406,168,56718.164,worm1
49,0.488,41.6,30,50,20.312,208,56718.164,worm1
50,0.488,38.2,31,52,18.652,191,56718.164,worm1
51,0.391,36.5,30,45,14.258,146,56718.164,worm1
52,0.977,40.2,30,52,39.258,402,56718.164,worm1
53,0.391,39.5,30,52,15.43,158,56718.164,worm1
54,0.488,38,31,49,18.555,190,56718.164,worm1
55,0.586,34.5,30,41,20.215,207,56718.164,worm1
56,0.488,36.6,31,47,17.871,183,56718.164,worm1
57,1.66,42.765,30,59,70.996,727,56718.164,worm1
58,0.391,41,32,51,16.016,164,56718.164,worm1
59,0.684,41.571,32,60,28.418,291,56718.164,worm1
60,1.27,42.538,31,59,54.004,553,56718.164,worm1
61,0.391,39.5,32,50,15.43,158,56718.164,worm1
62,0.586,41.333,32,59,24.219,248,56718.164,worm1
63,0.391,37.25,30,50,14.551,149,56718.164,worm1
64,0.488,45.6,37,57,22.266,228,56718.164,worm1
65,1.074,37.727,30,50,40.527,415,56718.164,worm1
66,0.684,37.143,30,53,25.391,260,56718.164,worm1
67,0.391,33,30,40,12.891,132,56718.164,worm1
68,0.586,40.833,31,58,23.926,245,56718.164,worm1
69,0.586,37.333,30,55,21.875,224,56718.164,worm1
70,0.391,39.25,32,48,15.332,157,56718.164,worm1
71,0.586,34.333,31,41,20.117,206,56718.164,worm1
72,0.391,37,32,40,14.453,148,56718.164,worm1
73,0.391,37,30,44,14.453,148,56718.164,worm1
74,0.781,46.375,36,57,36.23,371,56718.164,worm1
75,0.391,39,34,42,15.234,156,56718.164,worm1
76,0.879,40.111,30,52,35.254,361,56718.164,worm1
77,0.684,39.857,32,54,27.246,279,56718.164,worm1
78,0.391,38.25,36,43,14.941,153,56718.164,worm1
79,0.488,39.6,30,55,19.336,198,56718.164,worm1
80,0.488,42.6,33,54,20.801,213,56718.164,worm1
81,0.391,38.75,31,54,15.137,155,56718.164,worm1
82,0.879,49.556,41,60,43.555,446,56718.164,worm1
83,0.488,33.2,31,38,16.211,166,56718.164,worm1
84,0.879,38.778,31,48,34.082,349,56718.164,worm1
85,0.586,39.667,30,56,23.242,238,56718.164,worm1
86,0.391,41.5,37,48,16.211,166,56718.164,worm1
87,0.977,36.6,30,48,35.742,366,56718.164,worm1
88,0.586,38.5,32,50,22.559,231,56718.164,worm1
89,0.391,35.75,31,44,13.965,143,56718.164,worm1
90,0.684,37.429,30,52,25.586,262,56718.164,worm1
91,0.391,35.5,32,40,13.867,142,56718.164,worm1
92,1.758,41.667,32,60,73.242,750,56718.164,worm1
93,0.781,44.375,33,56,34.668,355,56718.164,worm1
94,0.488,33.6,30,43,16.406,168,56718.164,worm1
95,0.879,39,30,53,34.277,351,56718.164,worm1
96,0.684,41,31,58,28.027,287,56718.164,worm1
97,0.488,33.4,31,39,16.309,167,56718.164,worm1
98,0.586,42,32,59,24.609,252,56718.164,worm1
99,2.246,41.826,31,57,93.945,962,56718.164,worm1
100,0.391,42.5,37,51,16.602,170,56718.164,worm1
101,0.781,44.75,31,60,34.961,358,56718.164,worm1
102,0.488,40.6,30,56,19.824,203,56718.164,worm1
103,0.586,39,30,54,22.852,234,56718.164,worm1
104,0.586,43.333,31,54,25.391,260,56718.164,worm1
105,0.879,33.778,30,40,29.688,304,56718.164,worm1
106,0.684,40,32,49,27.344,280,56718.164,worm1
107,0.879,41.333,32,60,36.328,372,56718.164,worm1
108,0.488,32.2,30,34,15.723,161,56718.164,worm1
109,1.465,41.6,31,60,60.938,624,56718.164,worm1
110,0.391,43,36,51,16.797,172,56718.164,worm1
111,0.879,43.333,34,55,38.086,390,56718.164,worm1
112,0.391,40.75,30,52,15.918,163,56718.164,worm1
113,0.391,38.25,30,49,14.941,153,56718.164,worm1
114,0.684,43,31,56,29.395,301,56718.164,worm1
115,0.391,34.25,30,41,13.379,137,56718.164,worm1
116,0.781,37.75,32,49,29.492,302,56718.164,worm1
117,0.684,36.286,30,51,24.805,254,56718.164,worm1
118,0.586,36.333,30,39,21.289,218,56718.164,worm1
119,0.391,35.25,31,40,13.77,141,56718.164,worm1
120,0.391,32,30,34,12.5,128,56718.164,worm1
121,0.879,41.111,31,54,36.133,370,56718.164,worm1
122,0.391,44.5,33,59,17.383,178,56718.164,worm1
123,0.391,38.25,32,47,14.941,153,56718.164,worm1
124,0.391,34.75,31,41,13.574,139,56718.164,worm1
125,0.391,36.25,30,46,14.16,145,56718.164,worm1
126,0.586,35.333,30,43,20.703,212,56718.164,worm1
127,1.172,39.917,30,60,46.777,479,56718.164,worm1
128,0.781,37.875,32,52,29.59,303,56718.164,worm1
129,0.586,37.833,30,53,22.168,227,56718.164,worm1
130,0.586,38.667,34,43,22.656,232,56718.164,worm1
131,0.879,37,31,47,32.52,333,56718.164,worm1
132,0.391,48.25,40,59,18.848,193,56718.164,worm1
133,0.488,34.8,31,41,16.992,174,56718.164,worm1
134,0.391,49,32,58,19.141,196,56718.164,worm1
135,0.879,36.778,30,49,32.324,331,56718.164,worm1
136,0.977,40.9,32,55,39.941,409,56718.164,worm1
137,0.781,43.125,30,59,33.691,345,56718.164,worm1
138,0.684,44,40,54,30.078,308,56718.164,worm1
139,0.391,38,32,50,14.844,152,56718.164,worm1
140,0.684,36,30,52,24.609,252,56718.164,worm1
141,0.586,40.5,30,52,23.73,243,56718.164,worm1
142,1.27,42.615,31,55,54.102,554,56718.164,worm1
143,0.391,41,30,50,16.016,164,56718.164,worm1
144,0.586,38,30,48,22.266,228,56718.164,worm1
145,0.391,34.25,30,46,13.379,137,56718.164,worm1
146,0.391,38.25,33,43,14.941,153,56718.164,worm1
147,0.684,39.286,30,52,26.855,275,56718.164,worm1
148,0.488,41.2,34,51,20.117,206,56718.164,worm1
149,0.781,38.625,31,49,30.176,309,56718.164,worm1
150,0.586,39.5,30,52,23.145,237,56718.164,worm1
151,0.488,48.4,38,59,23.633,242,56718.164,worm1
152,0.879,39.556,30,51,34.766,356,56718.164,worm1
153,0.781,34.75,30,41,27.148,278,56718.164,worm1
154,0.586,38.667,31,47,22.656,232,56718.164,worm1
155,1.074,41.455,30,54,44.531,456,56718.164,worm1
156,0.391,35,31,39,13.672,140,56718.164,worm1
157,0.391,32.25,31,34,12.598,129,56718.164,worm1
158,0.488,36,33,40,17.578,180,56718.164,worm1
159,0.391,40.25,32,45,15.723,161,56718.164,worm1
160,0.391,37.75,30,47,14.746,151,56718.164,worm1
161,0.488,34.8,30,42,16.992,174,56718.164,worm1
162,0.391,41.5,33,45,16.211,166,56718.164,worm1
163,0.488,40,33,47,19.531,200,56718.164,worm1
164,0.391,36.5,30,49,14.258,146,56718.164,worm1
165,0.781,46.25,35,57,36.133,370,56718.164,worm1
166,0.391,33.5,30,36,13.086,134,56718.164,worm1
167,0.684,38.286,31,55,26.172,268,56718.164,worm1
168,0.488,32.4,32,34,15.82,162,56718.164,worm1
169,0.391,32.25,30,36,12.598,129,56718.164,worm1
170,0.391,41.25,36,48,16.113,165,56718.164,worm1
171,0.391,39,35,45,15.234,156,56718.164,worm1
172,0.391,33,30,35,12.891,132,56718.164,worm1
173,0.391,38.5,36,43,15.039,154,56718.164,worm1
174,0.391,40.25,30,51,15.723,161,56718.164,worm1
175,0.391,46.5,34,59,18.164,186,56718.164,worm1
176,0.586,34.333,30,41,20.117,206,56718.164,worm1
177,0.391,41.25,34,60,16.113,165,56718.164,worm1
178,0.586,35,31,42,20.508,210,56718.164,worm1
179,0.391,41.5,31,55,16.211,166,56718.164,worm1
180,0.391,36,30,42,14.062,144,56718.164,worm1
181,0.488,36.8,31,46,17.969,184,56718.164,worm1
182,0.391,39.5,32,47,15.43,158,56718.164,worm1
183,0.977,40.2,31,47,39.258,402,56718.164,worm1
184,0.391,37.25,33,41,14.551,149,56718.164,worm1
185,0.586,42.333,33,57,24.805,254,56718.164,worm1
186,0.391,37.75,33,46,14.746,151,56718.164,worm1
187,0.586,38.833,33,49,22.754,233,56718.164,worm1
188,0.488,42.8,34,52,20.898,214,56718.164,worm1
189,0.391,40.75,32,46,15.918,163,56718.164,worm1
190,0.391,45,40,53,17.578,180,56718.164,worm1
191,0.391,31.75,30,33,12.402,127,56718.164,worm1
192,0.391,43.5,35,50,16.992,174,56718.164,worm1
193,0.488,41.4,31,57,20.215,207,56718.164,worm1
194,0.781,41.75,30,56,32.617,334,56718.164,worm1
195,0.391,33,31,35,12.891,132,56718.164,worm1
196,0.391,33.5,32,37,13.086,134,56718.164,worm1
197,0.391,36.75,31,46,14.355,147,56718.164,worm1
198,0.391,35.5,33,39,13.867,142,56718.164,worm1
199,0.391,44.75,31,59,17.48,179,56718.164,worm1
200,0.488,39.8,30,48,19.434,199,56718.164,worm1
201,0.391,39.25,31,49,15.332,157,56718.164,worm1
202,0.391,38.75,30,44,15.137,155,56718.164,worm1
203,0.391,35,30,41,13.672,140,56718.164,worm1
204,0.879,44.222,33,57,38.867,398,56718.164,worm1
205,0.391,43.25,41,48,16.895,173,56718.164,worm1
206,0.391,41.75,31,53,16.309,167,56718.164,worm1
207,0.391,36.25,32,40,14.16,145,56718.164,worm1
208,0.586,39.333,31,56,23.047,236,56718.164,worm1
209,1.074,42.545,30,59,45.703,468,56718.164,worm1
210,0.391,41.25,37,47,16.113,165,56718.164,worm1
211,0.391,37.75,30,51,14.746,151,56718.164,worm1
212,0.391,48.25,41,59,18.848,193,56718.164,worm1
213,0.391,32.5,30,38,12.695,130,56718.164,worm1
214,0.488,43.8,30,59,21.387,219,56718.164,worm1
215,0.391,42.5,40,44,16.602,170,56718.164,worm1
216,0.488,46.2,37,58,22.559,231,56718.164,worm1
217,0.391,41,32,58,16.016,164,56718.164,worm1
218,0.391,40.75,37,46,15.918,163,56718.164,worm1
219,0.391,35.5,32,37,13.867,142,56718.164,worm1
